school,rating,id,conference,level,rd,volatility
A&M-Corpus Christi,1000.0,560639,Southland,mid-major,600.0,0.06
Abilene Christian,1000.0,560649,WAC,mid-major,600.0,0.06
Air Force,1000.0,561195,MWC,mid-major,600.0,0.06
Akron,1000.0,560651,MAC,mid-major,600.0,0.06
Alabama,1500.0,560658,SEC,power,600.0,0.06
Alabama A&M,1000.0,560654,SWAC,mid-major,600.0,0.06
Alabama St.,1000.0,560655,SWAC,mid-major,600.0,0.06
Alcorn,1000.0,560664,SWAC,mid-major,600.0,0.06
American,1000.0,560666,Patriot,mid-major,600.0,0.06
App State,1000.0,560667,Sunbelt,mid-major,600.0,0.06
Arizona,1500.0,560672,Pac 12,power,600.0,0.06
Arizona St.,1500.0,560669,Pac 12,power,600.0,0.06
Ark.-Pine Bluff,1000.0,560622,SWAC,mid-major,600.0,0.06
Arkansas,1500.0,560676,SEC,power,600.0,0.06
Arkansas St.,1000.0,560674,Sunbelt,mid-major,600.0,0.06
Army West Point,1000.0,561197,Patriot,mid-major,600.0,0.06
Auburn,1500.0,560680,SEC,power,600.0,0.06
Austin Peay,1000.0,560682,A-Sun,mid-major,600.0,0.06
BYU,1500.0,560702,Big 12,power,600.0,0.06
Ball St.,1000.0,560683,MAC,mid-major,600.0,0.06
Baylor,1500.0,560687,Big 12,power,600.0,0.06
Bellarmine,1000.0,561098,A-Sun,mid-major,600.0,0.06
Belmont,1000.0,560635,MVC,mid-major,600.0,0.06
Bethune-Cookman,1000.0,560689,SWAC,mid-major,600.0,0.06
Binghamton,1000.0,560691,Am. East,mid-major,600.0,0.06
Boise St.,1000.0,560693,MWC,mid-major,600.0,0.06
Boston College,1500.0,560695,ACC,power,600.0,0.06
Boston U.,1000.0,560696,Patriot,mid-major,600.0,0.06
Bowling Green,1000.0,560699,MAC,mid-major,600.0,0.06
Bradley,1000.0,560700,MVC,mid-major,600.0,0.06
Brown,1000.0,560704,Ivy,mid-major,600.0,0.06
Bryant,1000.0,560705,Am. East,mid-major,600.0,0.06
Bucknell,1000.0,560707,Patriot,mid-major,600.0,0.06
Buffalo,1000.0,560709,MAC,mid-major,600.0,0.06
Butler,1500.0,560711,Big East,power,600.0,0.06
CSU Bakersfield,1000.0,560714,Big West,mid-major,600.0,0.06
CSUN,1000.0,560723,Big West,mid-major,600.0,0.06
Cal Poly,1000.0,560712,Big West,mid-major,600.0,0.06
Cal St. Fullerton,1000.0,560718,Big West,mid-major,600.0,0.06
California,1500.0,560729,Pac 12,power,600.0,0.06
California Baptist,1000.0,561094,WAC,mid-major,600.0,0.06
Campbell,1000.0,560820,CAA,mid-major,600.0,0.06
Canisius,1000.0,560822,MAAC,mid-major,600.0,0.06
Central Ark.,1000.0,561265,A-Sun,mid-major,600.0,0.06
Central Conn. St.,1000.0,560824,NEC,mid-major,600.0,0.06
Central Mich.,1000.0,560828,MAC,mid-major,600.0,0.06
Charleston So.,1000.0,560685,Big South,mid-major,600.0,0.06
Charlotte,1500.0,560798,AAC,power,600.0,0.06
Chattanooga,1000.0,561164,Southern,mid-major,600.0,0.06
Chicago St.,1000.0,560830,Independent,mid-major,600.0,0.06
Cincinnati,1500.0,560832,Big 12,power,600.0,0.06
Clemson,1500.0,560836,ACC,power,600.0,0.06
Cleveland St.,1000.0,560838,Horizon,mid-major,600.0,0.06
Coastal Carolina,1000.0,560840,Sunbelt,mid-major,600.0,0.06
Col. of Charleston,1000.0,560608,CAA,mid-major,600.0,0.06
Colgate,1000.0,560843,Patriot,mid-major,600.0,0.06
Colorado,1500.0,560847,Pac 12,power,600.0,0.06
Colorado St.,1000.0,560845,MWC,mid-major,600.0,0.06
Columbia,1000.0,560849,Ivy,mid-major,600.0,0.06
Coppin St.,1000.0,560853,MEAC,mid-major,600.0,0.06
Cornell,1000.0,560855,Ivy,mid-major,600.0,0.06
Creighton,1500.0,560857,Big East,power,600.0,0.06
Dartmouth,1000.0,560859,Ivy,mid-major,600.0,0.06
Davidson,1000.0,560861,A-10,mid-major,600.0,0.06
Dayton,1000.0,560863,A-10,mid-major,600.0,0.06
DePaul,1500.0,560865,Big East,power,600.0,0.06
Delaware,1000.0,560869,CAA,mid-major,600.0,0.06
Delaware St.,1000.0,560867,MEAC,mid-major,600.0,0.06
Denver,1000.0,560871,Summit,mid-major,600.0,0.06
Detroit Mercy,1000.0,560873,Horizon,mid-major,600.0,0.06
Drake,1000.0,560875,MVC,mid-major,600.0,0.06
Drexel,1000.0,560877,CAA,mid-major,600.0,0.06
Duke,1500.0,560879,ACC,power,600.0,0.06
Duquesne,1000.0,560881,A-10,mid-major,600.0,0.06
ETSU,1000.0,560885,Southern,mid-major,600.0,0.06
East Carolina,1500.0,560883,AAC,power,600.0,0.06
Eastern Ill.,1000.0,560887,OVC,mid-major,600.0,0.06
Eastern Ky.,1000.0,560889,A-Sun,mid-major,600.0,0.06
Eastern Mich.,1000.0,560891,MAC,mid-major,600.0,0.06
Eastern Wash.,1000.0,560892,Big Sky,mid-major,600.0,0.06
Elon,1000.0,560610,CAA,mid-major,600.0,0.06
Evansville,1000.0,560893,MVC,mid-major,600.0,0.06
FGCU,1000.0,560643,A-Sun,mid-major,600.0,0.06
FIU,1000.0,560903,C-USA,mid-major,600.0,0.06
Fairfield,1000.0,560895,MAAC,mid-major,600.0,0.06
Fairleigh Dickinson,1000.0,560897,NEC,mid-major,600.0,0.06
Fla. Atlantic,1500.0,560901,AAC,power,600.0,0.06
Florida,1500.0,560908,SEC,power,600.0,0.06
Florida A&M,1000.0,560899,SWAC,mid-major,600.0,0.06
Florida St.,1500.0,560905,ACC,power,600.0,0.06
Fordham,1000.0,560909,A-10,mid-major,600.0,0.06
Fresno St.,1000.0,560716,MWC,mid-major,600.0,0.06
Furman,1000.0,560911,Southern,mid-major,600.0,0.06
Ga. Southern,1000.0,560919,Sunbelt,mid-major,600.0,0.06
Gardner-Webb,1000.0,560612,Big South,mid-major,600.0,0.06
George Mason,1000.0,560913,A-10,mid-major,600.0,0.06
George Washington,1000.0,560915,A-10,mid-major,600.0,0.06
Georgetown,1500.0,560917,Big East,power,600.0,0.06
Georgia,1500.0,560924,SEC,power,600.0,0.06
Georgia St.,1000.0,560920,Sunbelt,mid-major,600.0,0.06
Georgia Tech,1500.0,560922,ACC,power,600.0,0.06
Gonzaga,1500.0,560926,WCC,power,600.0,0.06
Grambling,1000.0,560929,SWAC,mid-major,600.0,0.06
Grand Canyon,1000.0,560614,WAC,mid-major,600.0,0.06
Green Bay,1000.0,561249,Horizon,mid-major,600.0,0.06
Hampton,1000.0,560931,CAA,mid-major,600.0,0.06
Harvard,1000.0,560935,Ivy,mid-major,600.0,0.06
Hawaii,1000.0,560937,Big West,mid-major,600.0,0.06
High Point,1000.0,560637,Big South,mid-major,600.0,0.06
Hofstra,1000.0,560939,CAA,mid-major,600.0,0.06
Holy Cross,1000.0,560941,Patriot,mid-major,600.0,0.06
