school,id,conference,level,rating,rd,volatility,wins,losses
A&M-Corpus Christi,560639.0,Southland,mid-major,993.17,71.25,0.0603002,11,7
Abilene Christian,560649.0,WAC,mid-major,1060.48,65.7437,0.0600126,7,11
Air Force,561195.0,MWC,mid-major,971.349,69.7547,0.0595659,7,10
Akron,560651.0,MAC,mid-major,1467.43,73.7362,0.0597521,14,4
Alabama,560658.0,SEC,power,1688.19,69.018,0.059794,12,6
Alabama A&M,560654.0,SWAC,mid-major,628.21,81.6075,0.0600661,3,15
Alabama St.,560655.0,SWAC,mid-major,1042.6,79.9836,0.0597049,9,9
Alcorn,560664.0,SWAC,mid-major,588.305,90.7052,0.0598819,2,15
American,560666.0,Patriot,mid-major,802.576,68.5352,0.05996,10,9
App State,560667.0,Sunbelt,mid-major,1398.99,75.4821,0.0606846,15,4
Arizona,560672.0,Pac 12,power,1763.25,70.8659,0.0601536,14,4
Arizona St.,560669.0,Pac 12,power,1526.42,65.5829,0.0602377,11,7
Ark.-Pine Bluff,560622.0,SWAC,mid-major,718.426,77.1633,0.0599956,7,10
Arkansas,560676.0,SEC,power,1525.02,67.706,0.0598135,10,8
Arkansas St.,560674.0,Sunbelt,mid-major,1034.4,65.7015,0.0598904,8,11
Army West Point,561197.0,Patriot,mid-major,553.238,77.1126,0.060343,5,14
Auburn,560680.0,SEC,power,1854.92,78.7139,0.060043,16,2
Austin Peay,560682.0,A-Sun,mid-major,1043.64,68.302,0.0598921,10,10
BYU,560702.0,Big 12,power,1690.78,70.0158,0.059872,14,4
Ball St.,560683.0,MAC,mid-major,948.316,69.0348,0.0596472,9,9
Baylor,560687.0,Big 12,power,1704.06,69.6873,0.0601388,14,4
Bellarmine,561098.0,A-Sun,mid-major,572.617,91.386,0.0600612,4,16
Belmont,560635.0,MVC,mid-major,1316.32,66.5499,0.0598687,11,8
Bethune-Cookman,560689.0,SWAC,mid-major,850.312,69.9127,0.0598283,8,9
Binghamton,560691.0,Am. East,mid-major,907.109,72.1407,0.0596948,8,9
Boise St.,560693.0,MWC,mid-major,1648.41,68.0098,0.0601228,13,5
Boston College,560695.0,ACC,power,1509.98,69.0844,0.0597243,11,7
Boston U.,560696.0,Patriot,mid-major,821.22,66.4204,0.0601748,7,12
Bowling Green,560699.0,MAC,mid-major,1270.35,71.3097,0.0598752,14,4
Bradley,560700.0,MVC,mid-major,1484.4,69.4596,0.0603493,14,5
Brown,560704.0,Ivy,mid-major,891.586,74.8061,0.060382,5,13
Bryant,560705.0,Am. East,mid-major,1271.64,73.4885,0.0606711,12,7
Bucknell,560707.0,Patriot,mid-major,846.328,67.8373,0.0598804,6,13
Buffalo,560709.0,MAC,mid-major,618.674,90.145,0.060043,2,15
Butler,560711.0,Big East,power,1551.34,68.9745,0.0599706,12,7
CSU Bakersfield,560714.0,Big West,mid-major,956.761,67.4111,0.059633,7,11
CSUN,560723.0,Big West,mid-major,1186.86,65.9952,0.0601898,13,6
Cal Poly,560712.0,Big West,mid-major,799.041,71.8326,0.0599435,4,15
Cal St. Fullerton,560718.0,Big West,mid-major,1165.58,66.1057,0.0596314,9,10
California,560729.0,Pac 12,power,1289.96,69.3717,0.0607215,7,12
California Baptist,561094.0,WAC,mid-major,1141.85,64.6214,0.0598749,11,7
Campbell,560820.0,CAA,mid-major,834.814,70.5065,0.060048,9,10
Canisius,560822.0,MAAC,mid-major,954.686,67.5726,0.0605532,7,11
Central Ark.,561265.0,A-Sun,mid-major,808.555,70.8827,0.0601771,7,14
Central Conn. St.,560824.0,NEC,mid-major,964.129,71.1287,0.0602339,10,8
Central Mich.,560828.0,MAC,mid-major,1115.77,71.1822,0.0606855,9,9
Charleston So.,560685.0,Big South,mid-major,783.857,74.4161,0.0600136,6,12
Charlotte,560798.0,AAC,power,1375.15,68.0341,0.0601625,11,7
Chattanooga,561164.0,Southern,mid-major,1160.58,69.3233,0.0597575,12,7
Chicago St.,560830.0,Independent,mid-major,989.93,69.1678,0.0600654,11,15
Cincinnati,560832.0,Big 12,power,1609.43,70.3145,0.0598394,13,5
Clemson,560836.0,ACC,power,1687.19,66.9571,0.0600672,13,5
Cleveland St.,560838.0,Horizon,mid-major,1144.34,66.2172,0.0603418,12,8
Coastal Carolina,560840.0,Sunbelt,mid-major,778.895,72.9389,0.0598782,5,13
Col. of Charleston,560608.0,CAA,mid-major,1354.69,66.8064,0.0598101,13,6
Colgate,560843.0,Patriot,mid-major,1166.06,72.3327,0.060011,11,8
Colorado,560847.0,Pac 12,power,1624.79,68.3275,0.0599631,14,5
Colorado St.,560845.0,MWC,mid-major,1753.31,73.9013,0.0599941,15,3
Columbia,560849.0,Ivy,mid-major,1045.76,71.9184,0.059746,9,7
Coppin St.,560853.0,MEAC,mid-major,523.589,78.6465,0.0599367,2,15
Cornell,560855.0,Ivy,mid-major,1498.34,76.6608,0.0596583,13,3
Creighton,560857.0,Big East,power,1730.03,68.5209,0.059997,14,5
Dartmouth,560859.0,Ivy,mid-major,726.74,77.2805,0.0600771,4,12
Davidson,560861.0,A-10,mid-major,1290.22,69.8692,0.0599449,11,7
Dayton,560863.0,A-10,mid-major,1843.75,80.635,0.0597967,15,2
DePaul,560865.0,Big East,power,989.983,77.1139,0.0598193,3,15
Delaware,560869.0,CAA,mid-major,1145.9,68.6009,0.0601219,11,8
Delaware St.,560867.0,MEAC,mid-major,906.61,70.4122,0.0597693,10,9
Denver,560871.0,Summit,mid-major,1042.32,67.7186,0.0599068,12,8
Detroit Mercy,560873.0,Horizon,mid-major,-641.224,378.086,0.0599919,0,20
Drake,560875.0,MVC,mid-major,1582.2,74.3248,0.0602616,16,3
Drexel,560877.0,CAA,mid-major,1319.24,70.0677,0.0604579,14,6
